"file","md5"
"data_filtered_2014_2024.xlsx","68c218aecd8f229d6cd8feaa1c9dde0a"
"data_filtered.xlsx","69a85a5664ff92075c5def235b84c96c"
"wages.xlsx","4ff880164c33c539e371b96a10737035"
