"analysis_role","source_file","years_used"
"donor construction","data_filtered_2014_2024.xlsx","2014, 2015, 2016, 2017, 2018, 2019, 2020"
"main econometric panel","data_filtered.xlsx","2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
