"source","source_rows","collapsed_country_years","country_years_with_multiple_rows","applicants_before","applicants_after"
"data_filtered_2014_2024.xlsx",4035,3883,19,51587345,51587345
"data_filtered.xlsx",2165,2095,10,21895475,21895475
