"covariate","rho","correlation","lo","hi"
"Tertiary_attain",0.075,-0.154106571727683,-0.591109162026609,0.365761671379632
"Tertiary_attain",0.08,-0.163025086504477,-0.595016574904143,0.358227582177993
"Tertiary_attain",0.085,-0.171265307124999,NA,NA
"Tertiary_attain",0.09,-0.178882571652706,-0.604494245980196,0.344001783507438
"Tertiary_attain",0.095,-0.185929782999258,-0.609465124228907,0.335470564760752
"Tertiary_attain",0.1,-0.192456385530874,NA,NA
"Tertiary_attain",0.105,-0.198507937002883,-0.613843168394249,0.315929542748948
"Tertiary_attain",0.11,-0.204126031507582,-0.615299513648781,0.309532871735803
"Tertiary_attain",0.115,-0.209348422362445,NA,NA
"Tertiary_attain",0.12,-0.214209251919246,-0.612599143755966,0.295842120656886
"Tertiary_attain",0.125,-0.21873933154183,-0.61330055043691,0.288792518061861
"Tertiary_attain",0.13,-0.222966437692544,-0.615452026881262,0.282703889082544
"Tertiary_attain",0.135,-0.226915604255117,-0.617988930002583,0.278516683193924
"Tertiary_attain",0.14,-0.230609400058943,-0.619353047304679,0.271026669006927
"Tertiary_attain",0.145,-0.234068186030418,NA,NA
"Tertiary_attain",0.15,-0.237310349724195,NA,NA
"Tertiary_attain",0.155,-0.240352516967303,-0.619479529825875,0.252014889984534
"Tertiary_attain",0.16,-0.24320974148145,-0.618464303722191,0.246596201035085
"Tertiary_attain",0.165,-0.245895673951479,-0.61975788796262,0.241860534815599
"Tertiary_attain",0.17,-0.248422712283498,-0.619730119603762,0.236908124100754
"Tertiary_attain",0.175,-0.250802134873993,NA,NA
"Tertiary_attain",0.18,-0.253044218672982,NA,NA
"Tertiary_attain",0.185,-0.255158343722008,NA,NA
"Tertiary_attain",0.19,-0.257153085713626,-0.620687331005238,0.22007147726496
"Tertiary_attain",0.195,-0.25903629797295,-0.621338565483093,0.216379616464971
"Tertiary_attain",0.2,-0.260815184115628,-0.622282750388586,0.212868147665576
"Tertiary_attain",0.205,-0.262496362496993,NA,NA
"Tertiary_attain",0.21,-0.264085923437771,NA,NA
"Tertiary_attain",0.215,-0.265589480094042,NA,NA
"Tertiary_attain",0.22,-0.267012213733585,-0.624254400205812,0.202221421277546
"Tertiary_attain",0.225,-0.268358914086841,-0.62517906575619,0.200973595675301
"Tertiary_attain",0.23,-0.269634015357853,-0.624953285523789,0.199525979771884
"Tertiary_attain",0.235,-0.270841628407658,NA,NA
"Tertiary_attain",0.24,-0.271985569558724,NA,NA
"Tertiary_attain",0.245,-0.273069386413236,NA,NA
"Tertiary_attain",0.25,-0.274096381029291,-0.626033198530047,0.188941221834123
"Tertiary_attain",0.255,-0.275069630756568,-0.626355160468087,0.186303789293854
"Tertiary_attain",0.26,-0.275992006995982,-0.627003900747811,0.1832781983889
"Tertiary_attain",0.265,-0.276866192115577,-0.627621127020436,0.181913365321832
"Tertiary_attain",0.27,-0.27769469472671,-0.627939081515389,0.181370234410272
"Tertiary_attain",0.275,-0.278479863500078,-0.627986421171033,0.17972403826227
"Tertiary_attain",0.28,-0.279223899679682,-0.628009772319401,0.17808215119748
"Tertiary_attain",0.285,-0.279928868434113,NA,NA
"Tertiary_attain",0.29,-0.280596709168217,NA,NA
"Tertiary_attain",0.295,-0.281229244903869,NA,NA
"Tertiary_attain",0.3,-0.281828190826062,-0.628674900957119,0.17312309193224
"Tertiary_attain",0.305,-0.282395162079562,-0.628758824244708,0.172630629901486
"Tertiary_attain",0.31,-0.282931680891713,-0.628678831213149,0.172169655202131
"Tertiary_attain",0.315,-0.283439183088555,-0.628948402143211,0.171738678922987
"Tertiary_attain",0.32,-0.283919024063947,-0.629201926090627,0.171336275609546
"Tertiary_attain",0.325,-0.284372484254864,-0.629443085837342,0.170961081226823
"Tertiary_attain",0.33,-0.284800774170247,-0.629672381716049,0.170611791082722
"Tertiary_attain",0.335,-0.285205039015714,-0.62989028819849,0.169947538829316
"Tertiary_attain",0.34,-0.285586362951921,-0.630097255771373,0.169215230584644
"Tertiary_attain",0.345,-0.285945773020415,NA,NA
"Tertiary_attain",0.35,-0.286284242767269,NA,NA
"Tertiary_attain",0.355,-0.286602695591703,NA,NA
"Tertiary_attain",0.36,-0.286902007844094,NA,NA
"Tertiary_attain",0.365,-0.287183011695354,-0.630966131128113,0.163082744031444
"Tertiary_attain",0.37,-0.287446497797435,-0.631110007385988,0.161432947312834
"Tertiary_attain",0.375,-0.287693217752797,-0.631245518427091,0.159858327922367
"Tertiary_attain",0.38,-0.287923886408943,-0.631372979388881,0.158984080366625
"Tertiary_attain",0.385,-0.288139183992538,-0.631492691657955,0.158527454511844
"Tertiary_attain",0.39,-0.288339758096309,-0.631645238225228,0.158104808333813
"Tertiary_attain",0.395,-0.288526225530622,-0.632123625634503,0.157714659552193
"Tertiary_attain",0.4,-0.288699174050568,-0.632270887990117,0.157355593773547
"Tertiary_enrol",0.01,0.12757764791324,-0.215810311838476,0.411652033417199
"Tertiary_enrol",0.015,0.154632982119235,-0.238138563062845,0.47996351099701
"Tertiary_enrol",0.02,0.168642335911558,-0.259586247502008,0.512531032306283
"Tertiary_enrol",0.025,0.176080172836156,-0.276840645728977,0.532175758891821
